Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,Division,
,,,,,,,,,,,Definition,
1,timetable,ET 611,Learning Sciences,I - Chandan Dasgupta,  ,6, M,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,
2,timetable,ET 614,Instructional Systems Design,I - Sahana Murthy,  ,2, M,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,
3,timetable,ET 620,Educational Neuroscience,I - Ritayan Mitra,  ,5, M,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,
4,timetable,ET 792,Communication Skills -II,I - S. R. Iyer,  ,10, M,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-10B-14:00:00-15:25:00,,,,,,
,,,,,,Tue-10A-14:00:00-15:25:00,,,,,,
